L 1,L 2,Araria,Aurangabad,Banka,Begusarai,Bhabua,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Jehanabad,Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Grand Total
Forest,Deciduous,,148.24,261.78,,676.35,0.10,,,,597.19,,629.05,6.02,0.04,,0.01,162.55,,,308.14,,47.45,428.18,811.57,,,,509.99,,,,,,,,,,4586.67
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,,,,,,,,,,,,1.29,,,,,,,,,,,,1.54,,,,,,,,,,,,,,2.83
Forest,Scrub Forest,,34.60,13.16,,445.93,,,,,220.82,,4.89,,,,,,,,,,0.93,75.31,78.39,,,,199.76,,,,,,,,,,1073.78
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,1.23,,,,,3.12,0.64,,,1.73,,,,,0.50,,0.33,,,,,,1.43,6.39,,,1.15,,,,,,,,0.03,0.86,17.41
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetlands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetlands / Water bodies,Inland Wetland,37.79,15.52,0.27,59.23,0.48,58.27,37.14,4.07,55.17,0.70,61.05,7.01,1.69,181.24,45.50,12.27,0.59,113.38,25.65,3.63,138.24,1.58,0.39,35.06,5.30,106.70,218.64,0.23,149.11,53.75,158.70,,6.18,17.72,163.28,55.04,191.85,2022.44
Wetlands / Water bodies,River/Stream/Canals,71.97,179.68,87.76,161.47,43.19,248.93,113.30,54.08,33.97,144.45,88.99,82.81,76.97,221.99,88.38,147.96,51.48,49.92,137.67,155.65,116.33,30.84,64.31,291.55,275.30,158.35,91.41,210.06,129.93,135.18,208.00,2.49,22.62,38.10,67.81,315.22,157.67,4555.79
Wetlands / Water bodies,Water bodies,2.43,2.57,34.30,2.18,3.34,2.05,1.68,2.30,12.67,3.83,5.83,23.19,1.32,0.55,7.70,0.46,3.27,0.60,9.23,4.07,4.60,5.00,8.67,3.04,0.25,9.49,0.60,3.43,0.69,1.49,3.22,2.27,0.28,2.91,3.22,0.53,1.80,175.10
