L 1,L 2,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,East Nimar,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,West Nimar,Grand Total
Builtup,Mining,11.25,4.00,14.75,3.99,6.73,2.64,11.04,0.87,12.61,17.76,5.66,1.91,7.42,18.15,0.20,1.87,4.00,10.73,0.51,0.60,12.37,8.17,3.25,25.15,4.58,9.02,4.96,3.37,9.64,5.23,15.98,4.29,10.10,17.19,10.96,38.41,11.53,4.92,5.71,9.29,0.87,2.14,68.84,8.16,26.17,2.62,11.00,3.41,474.04
Builtup,Rural,54.31,31.05,117.02,31.19,77.72,49.45,58.93,20.05,73.74,59.71,40.76,18.37,91.86,107.12,43.18,74.88,29.17,40.02,44.62,69.88,72.93,37.90,28.40,74.04,95.03,83.69,46.07,53.86,51.06,39.43,90.68,101.70,67.79,97.18,94.80,92.90,94.29,86.66,116.50,106.63,25.87,62.13,50.03,63.51,122.50,28.19,94.36,79.07,3190.22
Builtup,Urban,26.86,12.12,26.42,16.43,36.67,38.47,220.85,15.59,28.10,46.39,19.37,8.94,44.12,61.21,1.47,36.94,24.64,121.76,10.76,54.15,248.11,137.79,9.17,27.81,15.77,27.82,32.55,20.52,32.34,5.30,30.73,21.86,42.97,45.11,65.86,51.44,29.46,16.14,32.63,45.35,8.41,23.65,89.61,15.51,67.07,6.94,24.49,31.67,2057.36
Forest,Deciduous,381.59,654.37,4546.42,1053.59,3494.80,72.32,296.17,1312.15,1633.51,4159.69,2135.98,152.23,1580.79,669.44,1398.45,1983.11,1396.27,1106.81,872.84,2318.30,491.80,538.23,859.08,895.08,3345.07,170.54,282.32,1223.60,588.15,2506.29,2654.26,149.98,179.06,707.54,2165.83,1643.00,1282.48,2855.41,2212.56,7.46,2478.33,2289.37,3306.22,517.22,4.08,1268.25,669.20,1413.00,67922.22
Forest,Evergreen/Semi evergreen,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
Forest,Forest Plantation,0.48,0.63,1.75,,,0.49,,,0.57,2.08,0.57,5.45,,0.08,0.30,,2.35,,,,0.12,,1.04,2.82,0.49,1.77,0.48,,2.66,0.58,2.25,,0.09,22.29,0.96,0.06,,1.35,13.46,,3.81,2.70,12.73,0.25,,2.83,0.11,,87.61
Forest,Scrub Forest,48.01,141.63,226.39,765.21,150.55,10.58,65.22,213.24,128.32,213.49,328.73,39.32,459.46,256.55,138.83,238.23,198.42,513.03,23.82,29.61,104.89,58.94,584.46,45.73,409.59,217.76,562.92,59.29,827.85,322.02,311.84,68.43,172.83,124.42,265.56,201.38,145.33,198.64,217.26,29.35,1204.74,972.55,395.81,145.27,3.59,79.56,121.22,566.95,12606.81
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,1.61
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,23.26,24.51,130.67,103.14,99.54,55.77,9.32,42.98,86.49,113.39,62.27,35.43,34.37,91.76,33.47,61.06,45.28,12.25,74.86,186.22,19.97,59.14,89.04,42.64,103.27,19.67,107.14,107.73,11.89,88.27,39.65,52.30,49.81,52.55,74.54,27.14,61.62,67.25,109.65,52.90,67.58,87.14,206.58,51.32,40.61,21.61,44.80,122.88,3204.74
Wet lands / Water bodies,Water bodies,13.88,139.46,82.51,37.25,77.41,8.80,117.65,21.98,98.09,101.78,67.51,5.91,66.33,130.43,12.25,771.17,80.58,70.63,39.12,181.50,60.17,75.18,105.74,144.49,262.93,505.22,31.90,9.94,195.76,46.30,146.08,104.95,43.43,66.89,76.43,268.54,82.68,211.66,234.43,93.77,34.28,235.94,146.78,77.17,60.55,100.48,81.71,86.81,5714.43
