L 1,L 2,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,East Nimar,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,West Nimar,Grand Total
Builtup,Rural,54.31,30.94,117.00,31.19,77.07,49.32,41.49,19.99,69.51,59.66,40.67,18.29,89.89,105.60,43.17,73.83,28.87,39.84,44.62,69.79,64.70,37.23,25.50,73.73,95.03,82.43,45.87,52.75,50.07,38.42,84.69,100.37,62.81,96.47,94.61,91.52,87.03,86.48,116.50,104.13,25.76,61.91,50.09,62.97,115.95,28.19,92.17,78.60,3111.01
Builtup,Urban,25.88,11.73,25.37,15.62,33.09,38.33,198.99,15.25,20.13,43.72,16.28,7.86,39.51,53.17,1.43,33.34,23.49,120.54,10.32,51.36,213.35,127.72,8.77,25.04,14.97,21.62,30.57,13.93,28.79,4.69,25.67,16.72,25.41,37.46,63.57,46.11,21.93,12.38,29.47,15.24,6.82,22.01,77.18,12.37,49.40,6.85,21.61,26.77,1791.85
Forest,Deciduous,381.68,654.68,4548.13,1053.59,3495.35,72.36,296.88,1312.59,1633.81,4160.50,2137.58,152.23,1586.11,669.82,1398.47,1994.51,1396.27,1106.81,875.49,2319.85,491.94,538.79,860.08,895.61,3344.49,170.64,282.32,1223.83,588.34,2506.55,2655.01,149.98,179.10,707.54,2167.19,1642.94,1283.24,2855.11,2212.02,8.10,2478.33,2291.82,3320.84,517.28,4.08,1268.26,670.29,1413.16,67973.57
Forest,Evergreen/Semi evergreen,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
Forest,Forest Plantation,0.48,0.33,1.75,,,0.49,,,0.57,2.08,0.57,5.45,,0.08,0.30,,2.35,,,,0.12,,1.04,0.96,0.49,1.77,0.48,,2.66,0.58,2.25,,,22.26,0.96,,,0.12,13.09,,3.81,2.70,0.81,0.25,,2.83,0.10,,71.73
Forest,Scrub Forest,48.01,141.96,227.62,766.08,150.55,10.58,65.33,213.49,128.60,213.72,329.06,39.32,460.22,257.92,138.84,241.55,198.74,513.03,23.82,30.64,105.13,58.94,584.39,45.81,409.59,217.99,562.92,59.29,827.79,322.04,311.84,68.76,172.83,124.42,265.62,200.13,145.75,199.93,217.69,38.56,1204.74,973.89,402.51,145.27,3.59,79.56,121.79,567.40,12637.23
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,1.61
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,23.26,24.51,131.34,105.18,99.77,55.77,10.08,42.98,85.95,113.43,62.27,35.43,34.82,92.26,33.63,61.96,45.28,12.25,74.97,186.21,19.97,59.14,89.27,42.64,103.27,19.73,107.14,107.73,12.66,88.27,39.65,53.63,49.00,52.55,75.43,27.14,61.62,67.25,109.65,53.67,67.61,88.00,206.58,51.32,40.61,21.61,46.52,122.92,3215.94
Wet lands / Water bodies,Water bodies,13.54,137.02,78.95,29.33,67.01,8.80,103.41,16.42,127.39,91.55,59.61,4.62,54.94,118.08,6.92,694.05,78.71,66.32,29.06,179.04,60.04,74.85,95.27,145.95,262.90,447.38,30.30,9.27,178.02,40.97,130.86,84.82,37.73,66.27,57.54,280.49,69.55,213.01,230.56,80.30,28.13,221.37,166.67,106.53,53.03,99.06,46.77,77.94,5360.34
